 UNKNOWN: 0, SYSTEMCALL: 0, USERMODE: 0, BLOCKED_IO: 0, BLOCKED_CPU: 0, BLOCKED_WAITKERNEL: 0,BLOCKED_WAITPROCESS: 0, BLOCKED_FOR_FUTEX: 0, BLOCKED_CPU_FUTEX: 0, TRASH: 0
0,1153576,16697123,0,3224743,0,10672973,0,0,0
0,1210131,17994659,0,1745429,46752,4641109,0,0,0
0,1122263,18697865,0,19653449,0,3666967,0,0,0
0,1083463,17918724,0,19807019,0,13562479,0,0,0
0,1159220,17328523,0,16486651,0,7675640,0,0,0
0,1068314,17663519,0,22456631,0,6190517,0,0,0
0,1214533,18306672,0,5271138,0,9184547,0,0,0
0,1313488,19580723,0,31024558,0,11317667,0,0,0
0,1440766,19556623,0,2068399,49151,9150826,0,0,0
0,1405749,19535316,0,25107407,0,23555895,0,0,0
0,1331120,19381693,0,45891964,0,26106812,0,0,0
0,1265245,17798476,0,30196894,0,21466602,0,0,0
0,1168016,18177580,0,36570427,0,11552345,0,0,0
0,1126103,18129312,0,61176735,0,7784031,0,0,0
0,1218874,17701244,0,51259474,0,13626347,0,0,0
0,1284276,17584449,0,50000845,0,17152988,0,0,0
0,1552392,22263430,0,41673796,0,13799572,0,0,0
0,1171759,18573633,0,49320499,0,10451834,0,0,0
0,1250323,20311386,0,53099207,0,22527126,0,0,0
0,1131992,18465554,0,33069157,0,14473758,0,0,0
0,1283409,19053397,0,41311406,0,30120849,0,0,0
0,1207467,18927923,0,35726024,0,13544052,0,0,0
0,1229231,19354096,0,76269363,0,26548171,0,0,0
0,1225541,18225048,0,25232567,0,32975431,0,0,0
0,1265604,18092491,0,81882901,0,30371867,0,0,0
0,1404904,18622271,0,35830419,0,64999735,0,0,0
0,1278097,18150804,0,3888672,0,82424877,0,0,0
0,1355635,19468571,0,60920279,0,21026819,0,0,0
0,1221649,18466723,0,70091895,0,23041792,0,0,0
0,1444629,20800795,0,115729512,0,13524718,0,0,0
0,1284236,18130533,0,76612780,0,14202724,0,0,0
0,1166098,18598375,0,100368612,0,9977782,0,0,0
0,1247585,17450211,0,73840310,0,44287539,0,0,0
0,1391859,18718935,0,29799340,0,42883777,0,0,0
0,1423232,21653020,0,101734257,0,25759247,0,0,0
0,1263900,18474603,0,80515905,0,17620335,0,0,0
0,1254979,18054417,0,39065515,0,17839726,0,0,0
0,1240443,18917422,0,80863298,0,16145726,0,0,0
0,1319161,20882757,0,46355640,0,18211438,0,0,0
0,1515448,22172112,0,105802939,0,16197518,0,0,0
0,1428359,20921270,0,116086298,0,15535053,0,0,0
0,1275735,20212669,0,125974671,0,10191523,0,0,0
0,1483047,20009419,0,57195544,0,20613021,0,0,0
0,1349976,20348930,0,21475367,0,13422853,0,0,0
0,1472532,20563275,0,78260311,0,14899310,0,0,0
0,1564185,19072980,0,36688246,0,48518798,0,0,0
0,1279106,20710320,0,37944536,0,24448878,0,0,0
0,1112450,18707786,0,80428262,0,13796778,0,0,0
0,1302707,19959144,0,70283960,0,6409707,0,0,0
0,1389649,19073737,0,150640602,0,14191837,0,0,0
0,1561059,21787974,0,129453792,0,65051996,0,0,0
0,1352072,19179017,0,96642907,0,25749609,0,0,0
0,1509152,20505673,0,36118865,0,22398842,0,0,0
0,1535209,19873269,0,55037811,0,32113582,0,0,0
0,1741151,22979135,0,50583027,0,38812611,0,0,0
0,1481098,20482458,0,70477442,0,14388841,0,0,0
0,1732048,22098289,0,46625858,47876,20111482,0,0,0
0,1547702,21976645,0,127895938,0,21638041,0,0,0
0,1365118,19355717,0,19215342,0,29210008,0,0,0
0,1377301,21844248,0,73401938,0,24650294,0,0,0
0,1419359,19960480,0,61990381,0,48154252,0,0,0
0,1513977,20798269,0,80203664,0,50182889,0,0,0
0,1259498,18494149,0,32296271,0,27208984,0,0,0
0,1237577,18687223,0,121206236,0,12001434,0,0,0
0,1533894,22402855,0,100090214,0,47800355,0,0,0
0,1419614,20152143,0,145543456,0,30950910,0,0,0
0,1721558,21209649,0,42405172,0,24512755,0,0,0
0,1269026,18487628,0,87201615,0,19896519,0,0,0
0,1493487,19575499,0,9078448,0,32005315,0,0,0
0,1329430,20998590,0,103149860,0,31488106,0,0,0
0,1331787,20478791,0,44933072,0,10847045,0,0,0
0,1336077,19860904,0,54776409,0,16089178,0,0,0
0,1380880,19676937,0,95355423,0,36270209,0,0,0
0,1422749,21429000,0,107746938,0,21102144,0,0,0
0,1361325,19788089,0,146146213,0,16883163,0,0,0
0,1244723,19407506,0,41017804,0,13326121,0,0,0
0,1266635,19514108,0,49698524,0,20465715,0,0,0
0,1317913,19277690,0,38450249,0,28966891,0,0,0
0,1387601,20607031,0,73314819,0,23977948,0,0,0
0,1569629,20786141,0,112427076,0,16006256,0,0,0
0,1448763,20174457,0,68362459,0,19187436,0,0,0
0,1326178,19363528,0,62247026,0,20762761,0,0,0
0,1450525,20040551,0,86901997,0,21398237,0,0,0
0,1308986,20262598,0,58951020,0,17050611,0,0,0
0,1413257,23041391,0,122594894,0,14760543,0,0,0
0,1215489,19027697,0,76638326,0,18840663,0,0,0
0,1569403,21027697,0,77929805,0,25580792,0,0,0
0,1468680,20794441,0,48684396,0,28968124,0,0,0
0,1418498,20946159,0,89253339,0,22707801,0,0,0
0,1416732,21693616,0,86475492,0,15100709,0,0,0
0,1192949,19509201,0,66762525,0,21700369,0,0,0
0,1347736,20457495,0,82696117,0,24095357,0,0,0
0,1292186,19554278,0,58542962,0,22705998,0,0,0
0,1265413,20250068,0,50328002,0,12009041,0,0,0
0,1481886,20199191,0,69486935,0,25069549,0,0,0
0,1484989,22673916,0,153900241,0,42584371,0,0,0
0,1421811,21035589,0,207176198,0,12707882,0,0,0
0,1302446,20317511,0,117638673,0,24232372,0,0,0
0,1366071,19159128,0,29851668,0,17168615,0,0,0
0,1157095,17453282,0,36388637,0,13446382,0,0,0
0,1356945,20429460,0,35699306,0,22938611,0,0,0
0,1308940,19598898,0,56394363,0,17823425,0,0,0
0,1323167,19816866,0,61532286,0,19597679,0,0,0
0,1507615,20054449,0,131323771,0,14856130,0,0,0
0,1293737,19692226,0,70814057,0,13462342,0,0,0
0,1366693,18595786,0,38662446,0,25741415,0,0,0
0,1350950,20463409,0,73847677,0,26392833,0,0,0
0,1367680,19719658,0,5544971,48481,18182913,0,0,0
