0,0,0,0,0,0,56,61,84,0,0,0,0,0
0,0,0,0,0,0,74,84,107,0,0,0,0,0
0,0,0,0,0,0,67,83,108,0,0,0,0,0
0,0,0,0,0,0,40,49,74,0,0,0,0,0
0,0,0,0,0,0,69,86,109,0,0,0,0,0
0,0,0,0,0,0,39,46,69,0,0,0,0,0
0,0,0,0,0,0,63,68,90,0,0,0,0,0
0,0,0,0,0,0,54,64,87,0,0,0,0,0
0,0,0,0,0,0,55,62,84,0,0,0,0,0
0,0,0,0,0,0,48,59,83,0,0,0,0,0
0,0,0,0,0,0,32,42,68,0,0,0,0,0
0,0,0,0,0,0,35,45,66,0,0,0,0,0
0,0,0,0,0,0,57,63,86,0,0,0,0,0
0,0,0,0,0,0,48,53,76,0,0,0,0,0
0,0,0,0,0,0,64,82,107,0,0,0,0,0
0,0,0,0,0,0,40,48,68,0,0,0,0,0
0,0,0,0,0,0,66,88,111,0,0,0,0,0
0,0,0,0,0,0,50,61,85,0,0,0,0,0
0,0,0,0,0,0,57,65,92,0,0,0,0,0
0,0,0,0,0,0,51,61,83,0,0,0,0,0
0,0,0,0,0,0,29,44,67,0,0,0,0,0
0,0,0,0,0,0,72,79,105,1,0,0,0,0
